"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q9HBY8","SGK2","SGK2","Kinase","1","2.078","0.263","7.905","2.68e-15","5.20e-13"
"Q15418","p90RSK","RPS6KA1","Kinase","14","1.333","0.178","7.483","7.24e-14","7.02e-12"
"Q13177","PAK2","PAK2","Kinase","6","2.017","0.283","7.139","9.40e-13","6.08e-11"
"O75116","ROCK2","ROCK2","Kinase","3","1.096","0.196","5.581","2.39e-8","0.00000116"
"P31749","Akt1","AKT1","Kinase","39","0.774","0.14","5.536","3.09e-8","0.00000120"
"Q13153","PAK1","PAK1","Kinase","15","0.761","0.14","5.438","5.37e-8","0.00000174"
"P19525","PKR","EIF2AK2","Kinase","1","1.284","0.242","5.307","1.11e-7","0.00000270"
"Q9Y572","RIPK3","RIPK3","Kinase","1","1.284","0.242","5.307","1.11e-7","0.00000270"
"Q13237","PKG2","PRKG2","Kinase","2","1.228","0.237","5.185","2.16e-7","0.00000466"
"P78527","DNAPK","PRKDC","Kinase","2","2.6","0.509","5.106","3.29e-7","0.00000592"
"Q05513","PKCZ","PRKCZ","Kinase","3","1.01","0.198","5.102","3.36e-7","0.00000592"
"P17612","PKACA","PRKACA","Kinase","48","0.7","0.143","4.9","9.56e-7","0.0000155"
"O14578","CRIK","CIT","Kinase","1","0.907","0.19","4.782","0.00000173","0.0000210"
"Q14012","CAMK1A","CAMK1","Kinase","1","0.907","0.19","4.782","0.00000173","0.0000210"
"Q15746","smMLCK","MYLK","Kinase","1","0.907","0.19","4.782","0.00000173","0.0000210"
"Q5VT25","MRCKA","CDC42BPA","Kinase","1","0.907","0.19","4.782","0.00000173","0.0000210"
"P05771","PKCB iso2","PRKCB","Kinase","3","0.944","0.201","4.687","0.00000277","0.0000316"
"Q13418","ILK","ILK","Kinase","2","1.191","0.262","4.537","0.00000570","0.0000614"
"Q13464","ROCK1","ROCK1","Kinase","4","1.617","0.376","4.306","0.0000167","0.000165"
"P17252","PKCA","PRKCA","Kinase","10","1.107","0.257","4.3","0.0000171","0.000165"
"P49137","MAPKAPK2","MAPKAPK2","Kinase","9","1.119","0.265","4.221","0.0000243","0.000225"
"P04049","RAF1","RAF1","Kinase","5","0.759","0.186","4.089","0.0000434","0.000382"
"O60674","JAK2","JAK2","Kinase","2","0.663","0.164","4.048","0.0000517","0.000436"
"P06241","Fyn","FYN","Kinase","4","1.828","0.456","4.004","0.0000624","0.000504"
"Q13976","PKG1 iso2","PRKG1","Kinase","4","1.016","0.264","3.852","0.000117","0.000910"
"P51617","IRAK1","IRAK1","Kinase","1","0.524","0.138","3.804","0.000142","0.00102"
"Q13233","MEKK1","MAP3K1","Kinase","1","0.524","0.138","3.804","0.000142","0.00102"
"P41743","PKCI","PRKCI","Kinase","5","0.77","0.203","3.797","0.000147","0.00102"
"P51812","RSK2","RPS6KA3","Kinase","5","0.965","0.266","3.626","0.000288","0.00193"
"Q86V86","Pim3","PIM3","Kinase","3","0.529","0.15","3.535","0.000408","0.00264"
"P07948","LYN","LYN","Kinase","1","0.621","0.183","3.393","0.000692","0.00363"
"P08631","Hck","HCK","Kinase","1","0.621","0.183","3.393","0.000692","0.00363"
"P23458","JAK1","JAK1","Kinase","1","0.621","0.183","3.393","0.000692","0.00363"
"P36888","FLT3","FLT3","Kinase","1","0.621","0.183","3.393","0.000692","0.00363"
"P52333","JAK3","JAK3","Kinase","1","0.621","0.183","3.393","0.000692","0.00363"
"Q06187","Btk","BTK","Kinase","1","0.621","0.183","3.393","0.000692","0.00363"
"Q12866","Mer","MERTK","Kinase","1","0.621","0.183","3.393","0.000692","0.00363"
"Q13043","MST1","STK4","Kinase","1","2.326","0.69","3.37","0.000751","0.00375"
"O94921","CDK14","CDK14","Kinase","1","3.325","0.987","3.369","0.000755","0.00375"
"P28482","ERK2","MAPK1","Kinase","61","0.422","0.126","3.352","0.000802","0.00389"
"P45984","JNK2 iso2","MAPK9","Kinase","3","0.44","0.132","3.328","0.000874","0.00408"
"Q05655","PKCD","PRKCD","Kinase","10","0.597","0.18","3.326","0.000883","0.00408"
"Q7KZI7","MARK2","MARK2","Kinase","5","1.112","0.339","3.286","0.00102","0.00450"
"P10398","ARAF","ARAF","Kinase","1","0.485","0.148","3.278","0.00104","0.00450"
"P22694","PKACB","PRKACB","Kinase","1","0.485","0.148","3.278","0.00104","0.00450"
"Q96GD4","AurB","AURKB","Kinase","12","0.801","0.245","3.271","0.00107","0.00452"
"P06239","Lck","LCK","Kinase","5","1.444","0.443","3.259","0.00112","0.00462"
"P23443","p70S6K","RPS6KB1","Kinase","6","0.855","0.264","3.241","0.00119","0.00481"
"P41279","Cot","MAP3K8","Kinase","2","0.777","0.257","3.019","0.00253","0.0100"
"P27361","ERK1","MAPK3","Kinase","45","0.374","0.124","3.014","0.00258","0.0100"
"Q13555","CAMK2G","CAMK2G","Kinase","1","1.982","0.66","3.004","0.00267","0.0101"
"P00533","EGFR","EGFR","Kinase","1","0.704","0.238","2.956","0.00311","0.0112"
"P16591","Fer","FER","Kinase","1","0.704","0.238","2.956","0.00311","0.0112"
"P36507","MEK2","MAP2K2","Kinase","1","0.704","0.238","2.956","0.00311","0.0112"
"Q96BR1","SGK3","SGK3","Kinase","2","1.521","0.517","2.942","0.00326","0.0115"
"Q8IWU2","Lmr2","LMTK2","Kinase","1","1.002","0.345","2.902","0.00371","0.0129"
"P11309","Pim1","PIM1","Kinase","4","0.604","0.21","2.871","0.00410","0.0139"
"O75582","MSK1","RPS6KA5","Kinase","4","0.402","0.145","2.782","0.00540","0.0181"
"Q9P1W9","Pim2","PIM2","Kinase","2","0.442","0.166","2.658","0.00785","0.0258"
"O15111","IKKA","CHUK","Kinase","2","0.726","0.297","2.443","0.0146","0.0471"
"Q13188","MST2","STK3","Kinase","2","1.205","0.502","2.402","0.0163","0.0519"
"Q9UBE8","NLK","NLK","Kinase","3","0.409","0.18","2.265","0.0235","0.0736"
"P53355","DAPK1","DAPK1","Kinase","2","0.675","0.308","2.196","0.0281","0.0865"
"Q16644","MAPKAPK3","MAPKAPK3","Kinase","2","0.664","0.31","2.144","0.0321","0.0972"
"P24723","PKCH","PRKCH","Kinase","1","1.014","0.505","2.008","0.0447","0.132"
"Q16539","P38A","MAPK14","Kinase","15","0.324","0.162","2.004","0.0451","0.132"
"P43405","Syk","SYK","Kinase","2","1.002","0.501","1.999","0.0456","0.132"
"Q02750","MEK1","MAP2K1","Kinase","2","0.48","0.242","1.984","0.0473","0.135"
"O15264","P38D","MAPK13","Kinase","8","0.336","0.182","1.85","0.0643","0.181"
"Q16566","CAMK4","CAMK4","Kinase","2","0.678","0.369","1.839","0.0659","0.183"
