"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P17612","PKACA","PRKACA","Kinase","65","1.698","0.125","13.609","3.55e-42","8.02e-40"
"P31749","Akt1","AKT1","Kinase","54","1.484","0.118","12.538","4.64e-36","5.24e-34"
"Q15418","p90RSK","RPS6KA1","Kinase","21","1.715","0.148","11.577","5.38e-31","4.05e-29"
"P28482","ERK2","MAPK1","Kinase","85","1.092","0.105","10.411","2.21e-25","1.25e-23"
"P49137","MAPKAPK2","MAPKAPK2","Kinase","14","2.013","0.208","9.691","3.28e-22","1.48e-20"
"P27361","ERK1","MAPK3","Kinase","72","0.968","0.102","9.48","2.54e-21","7.46e-20"
"P10398","ARAF","ARAF","Kinase","1","1.296","0.137","9.476","2.64e-21","7.46e-20"
"P22694","PKACB","PRKACB","Kinase","1","1.296","0.137","9.476","2.64e-21","7.46e-20"
"Q13177","PAK2","PAK2","Kinase","10","2.136","0.226","9.46","3.08e-21","7.73e-20"
"P08631","Hck","HCK","Kinase","2","1.161","0.123","9.424","4.33e-21","8.16e-20"
"P23458","JAK1","JAK1","Kinase","2","1.161","0.123","9.424","4.33e-21","8.16e-20"
"Q12866","Mer","MERTK","Kinase","2","1.161","0.123","9.424","4.33e-21","8.16e-20"
"Q13153","PAK1","PAK1","Kinase","19","1.229","0.136","9.07","1.19e-19","2.07e-18"
"O75116","ROCK2","ROCK2","Kinase","3","1.653","0.189","8.726","2.64e-18","4.26e-17"
"Q9Y572","RIPK3","RIPK3","Kinase","1","2.026","0.233","8.694","3.50e-18","5.28e-17"
"P17252","PKCA","PRKCA","Kinase","26","1.532","0.176","8.681","3.92e-18","5.54e-17"
"Q9HBY8","SGK2","SGK2","Kinase","1","2.151","0.259","8.312","9.44e-17","1.25e-15"
"P04049","RAF1","RAF1","Kinase","6","1.417","0.173","8.182","2.78e-16","3.43e-15"
"P06239","Lck","LCK","Kinase","6","3.061","0.374","8.178","2.89e-16","3.43e-15"
"Q05513","PKCZ","PRKCZ","Kinase","6","1.317","0.162","8.115","4.86e-16","5.49e-15"
"Q13976","PKG1 iso2","PRKG1","Kinase","6","1.798","0.224","8.023","1.03e-15","1.11e-14"
"Q13237","PKG2","PRKG2","Kinase","2","1.845","0.23","8.017","1.08e-15","1.11e-14"
"O14578","CRIK","CIT","Kinase","1","1.437","0.183","7.875","3.40e-15","3.20e-14"
"Q15746","smMLCK","MYLK","Kinase","1","1.437","0.183","7.875","3.40e-15","3.20e-14"
"P23443","p70S6K","RPS6KB1","Kinase","11","1.508","0.192","7.861","3.81e-15","3.44e-14"
"P51617","IRAK1","IRAK1","Kinase","1","0.994","0.127","7.827","5.00e-15","4.19e-14"
"Q13233","MEKK1","MAP3K1","Kinase","1","0.994","0.127","7.827","5.00e-15","4.19e-14"
"P06241","Fyn","FYN","Kinase","5","2.768","0.365","7.586","3.30e-14","2.61e-13"
"Q86V86","Pim3","PIM3","Kinase","4","1.075","0.142","7.584","3.35e-14","2.61e-13"
"P36888","FLT3","FLT3","Kinase","1","1.313","0.175","7.521","5.42e-14","3.83e-13"
"P52333","JAK3","JAK3","Kinase","1","1.313","0.175","7.521","5.42e-14","3.83e-13"
"Q06187","Btk","BTK","Kinase","1","1.313","0.175","7.521","5.42e-14","3.83e-13"
"Q00526","CDK3","CDK3","Kinase","3","0.951","0.127","7.49","6.88e-14","4.71e-13"
"P16591","Fer","FER","Kinase","2","1.029","0.139","7.403","1.33e-13","8.85e-13"
"Q05655","PKCD","PRKCD","Kinase","19","1.034","0.14","7.372","1.68e-13","9.65e-13"
"P04629","TrkA","NTRK1","Kinase","1","1.009","0.137","7.37","1.71e-13","9.65e-13"
"P14618","PKM iso2","PKM","Kinase","1","1.009","0.137","7.37","1.71e-13","9.65e-13"
"P22455","FGFR4","FGFR4","Kinase","1","1.009","0.137","7.37","1.71e-13","9.65e-13"
"P22607","FGFR3","FGFR3","Kinase","1","1.009","0.137","7.37","1.71e-13","9.65e-13"
"Q15300","Ret iso3","RET","Kinase","1","1.009","0.137","7.37","1.71e-13","9.65e-13"
"P41279","Cot","MAP3K8","Kinase","7","1.256","0.171","7.361","1.82e-13","1.01e-12"
"P05771","PKCB iso2","PRKCB","Kinase","5","1.472","0.203","7.239","4.53e-13","2.44e-12"
"O15264","P38D","MAPK13","Kinase","11","1.094","0.152","7.189","6.52e-13","3.37e-12"
"Q9P1W9","Pim2","PIM2","Kinase","2","1.132","0.157","7.188","6.56e-13","3.37e-12"
"P31751","Akt2","AKT2","Kinase","19","1.29","0.185","6.988","2.79e-12","1.40e-11"
"Q8TD08","ERK7","MAPK15","Kinase","1","1.221","0.177","6.909","4.89e-12","2.35e-11"
"Q99986","VRK1","VRK1","Kinase","1","1.221","0.177","6.909","4.89e-12","2.35e-11"
"Q13418","ILK","ILK","Kinase","2","1.761","0.258","6.827","8.65e-12","4.07e-11"
"Q13131","AMPKA1","PRKAA1","Kinase","23","1.266","0.189","6.688","2.26e-11","1.04e-10"
"Q02156","PKCE","PRKCE","Kinase","7","1.462","0.219","6.677","2.44e-11","1.10e-10"
"Q9H4B4","PLK3","PLK3","Kinase","2","1.031","0.155","6.666","2.63e-11","1.17e-10"
"P45984","JNK2 iso2","MAPK9","Kinase","8","0.915","0.139","6.565","5.20e-11","2.26e-10"
"P53355","DAPK1","DAPK1","Kinase","3","2.037","0.31","6.56","5.38e-11","2.29e-10"
"Q13464","ROCK1","ROCK1","Kinase","5","2.369","0.365","6.484","8.93e-11","3.74e-10"
"P30530","AXL","AXL","Kinase","3","1.704","0.264","6.446","1.15e-10","4.71e-10"
"Q16539","P38A","MAPK14","Kinase","27","0.852","0.135","6.315","2.70e-10","1.09e-9"
"P41743","PKCI","PRKCI","Kinase","6","1.185","0.19","6.238","4.44e-10","1.76e-9"
"O75582","MSK1","RPS6KA5","Kinase","6","0.985","0.159","6.206","5.45e-10","2.12e-9"
"Q9UBE8","NLK","NLK","Kinase","3","1.064","0.173","6.142","8.13e-10","3.12e-9"
"P51812","RSK2","RPS6KA3","Kinase","10","1.201","0.197","6.113","9.77e-10","3.68e-9"
"O00141","SGK1","SGK1","Kinase","12","1.195","0.2","5.982","2.21e-9","8.19e-9"
"Q16644","MAPKAPK3","MAPKAPK3","Kinase","3","1.248","0.216","5.774","7.75e-9","2.82e-8"
"P12931","Src","SRC","Kinase","10","1.103","0.193","5.717","1.08e-8","3.89e-8"
"O14757","Chk1","CHEK1","Kinase","26","1.569","0.275","5.702","1.19e-8","4.19e-8"
"P53779","JNK3","MAPK10","Kinase","5","0.901","0.16","5.647","1.63e-8","5.67e-8"
"P06493","CDK1","CDK1","Kinase","170","0.531","0.095","5.602","2.12e-8","7.26e-8"
"P07948","LYN","LYN","Kinase","2","1.347","0.242","5.577","2.44e-8","8.23e-8"
"Q15759","P38B","MAPK11","Kinase","5","0.888","0.16","5.55","2.85e-8","9.48e-8"
"P45983","JNK1 iso2","MAPK8","Kinase","21","0.852","0.154","5.521","3.37e-8","1.10e-7"
"O15111","IKKA","CHUK","Kinase","2","1.625","0.294","5.519","3.40e-8","1.10e-7"
"Q7KZI7","MARK2","MARK2","Kinase","8","1.484","0.269","5.511","3.57e-8","1.14e-7"
"Q07002","CDK18","CDK18","Kinase","2","0.816","0.153","5.327","1.00e-7","3.14e-7"
