"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q13153","PAK1","PAK1","Kinase","14","0.845","0.102","8.282","1.21e-16","1.51e-14"
"Q13177","PAK2","PAK2","Kinase","7","1.612","0.196","8.218","2.06e-16","1.51e-14"
"P31749","Akt1","AKT1","Kinase","33","0.89","0.108","8.206","2.28e-16","1.51e-14"
"P17612","PKACA","PRKACA","Kinase","43","0.867","0.11","7.881","3.26e-15","1.61e-13"
"Q15418","p90RSK","RPS6KA1","Kinase","13","1.05","0.138","7.607","2.82e-14","1.11e-12"
"O75116","ROCK2","ROCK2","Kinase","3","1.032","0.149","6.913","4.73e-12","1.56e-10"
"Q9HBY8","SGK2","SGK2","Kinase","1","1.374","0.2","6.859","6.93e-12","1.96e-10"
"P05771","PKCB iso2","PRKCB","Kinase","3","1.045","0.153","6.831","8.45e-12","2.09e-10"
"Q05513","PKCZ","PRKCZ","Kinase","3","0.997","0.151","6.621","3.56e-11","7.83e-10"
"P45984","JNK2 iso2","MAPK9","Kinase","4","0.614","0.094","6.528","6.65e-11","1.32e-9"
"P10398","ARAF","ARAF","Kinase","1","0.714","0.112","6.401","1.55e-10","2.55e-9"
"P22694","PKACB","PRKACB","Kinase","1","0.714","0.112","6.401","1.55e-10","2.55e-9"
"Q13464","ROCK1","ROCK1","Kinase","3","1.766","0.28","6.304","2.91e-10","4.42e-9"
"P04049","RAF1","RAF1","Kinase","5","0.886","0.141","6.284","3.30e-10","4.66e-9"
"P28482","ERK2","MAPK1","Kinase","60","0.577","0.095","6.055","1.40e-9","1.85e-8"
"P27361","ERK1","MAPK3","Kinase","47","0.546","0.093","5.899","3.65e-9","4.31e-8"
"P06239","Lck","LCK","Kinase","6","1.625","0.276","5.897","3.70e-9","4.31e-8"
"Q13418","ILK","ILK","Kinase","2","1.141","0.2","5.717","1.08e-8","1.19e-7"
"O14578","CRIK","CIT","Kinase","1","0.813","0.144","5.638","1.72e-8","1.48e-7"
"P53355","DAPK1","DAPK1","Kinase","1","0.813","0.144","5.638","1.72e-8","1.48e-7"
"Q14012","CAMK1A","CAMK1","Kinase","1","0.813","0.144","5.638","1.72e-8","1.48e-7"
"Q15746","smMLCK","MYLK","Kinase","1","0.813","0.144","5.638","1.72e-8","1.48e-7"
"Q5VT25","MRCKA","CDC42BPA","Kinase","1","0.813","0.144","5.638","1.72e-8","1.48e-7"
"O96017","Chk2","CHEK2","Kinase","1","1.012","0.184","5.5","3.80e-8","3.01e-7"
"Q9Y572","RIPK3","RIPK3","Kinase","1","1.012","0.184","5.5","3.80e-8","3.01e-7"
"Q8TAS1","KIS","UHMK1","Kinase","1","0.747","0.136","5.49","4.02e-8","3.06e-7"
"O15264","P38D","MAPK13","Kinase","8","0.726","0.138","5.246","1.56e-7","0.00000114"
"P11309","Pim1","PIM1","Kinase","4","0.836","0.16","5.218","1.81e-7","0.00000128"
"P51617","IRAK1","IRAK1","Kinase","1","0.543","0.104","5.202","1.97e-7","0.00000130"
"Q13233","MEKK1","MAP3K1","Kinase","1","0.543","0.104","5.202","1.97e-7","0.00000130"
"P78527","DNAPK","PRKDC","Kinase","3","1.519","0.293","5.189","2.11e-7","0.00000135"
"P41743","PKCI","PRKCI","Kinase","5","0.787","0.154","5.108","3.26e-7","0.00000202"
"P49137","MAPKAPK2","MAPKAPK2","Kinase","9","1.024","0.202","5.068","4.02e-7","0.00000241"
"Q9P1W9","Pim2","PIM2","Kinase","2","0.619","0.126","4.91","9.13e-7","0.00000532"
"P41279","Cot","MAP3K8","Kinase","2","0.95","0.196","4.856","0.00000120","0.00000679"
"Q86V86","Pim3","PIM3","Kinase","4","0.556","0.115","4.833","0.00000135","0.00000740"
"P07948","LYN","LYN","Kinase","1","0.655","0.138","4.749","0.00000205","0.00000942"
"P08631","Hck","HCK","Kinase","1","0.655","0.138","4.749","0.00000205","0.00000942"
"P23458","JAK1","JAK1","Kinase","1","0.655","0.138","4.749","0.00000205","0.00000942"
"P36888","FLT3","FLT3","Kinase","1","0.655","0.138","4.749","0.00000205","0.00000942"
"P52333","JAK3","JAK3","Kinase","1","0.655","0.138","4.749","0.00000205","0.00000942"
"Q06187","Btk","BTK","Kinase","1","0.655","0.138","4.749","0.00000205","0.00000942"
"Q12866","Mer","MERTK","Kinase","1","0.655","0.138","4.749","0.00000205","0.00000942"
"Q9UBE8","NLK","NLK","Kinase","3","0.646","0.137","4.708","0.00000250","0.0000113"
"Q13237","PKG2","PRKG2","Kinase","2","0.837","0.18","4.644","0.00000341","0.0000150"
"P31751","Akt2","AKT2","Kinase","9","0.774","0.168","4.619","0.00000386","0.0000161"
"P06241","Fyn","FYN","Kinase","4","1.584","0.343","4.618","0.00000388","0.0000161"
