"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q13315","ATM","ATM","Kinase","27","1.461","0.155","9.427","4.24e-21","1.05e-18"
"P78527","DNAPK","PRKDC","Kinase","7","2.057","0.225","9.14","6.24e-20","7.77e-18"
"Q96GD4","AurB","AURKB","Kinase","47","1.271","0.145","8.742","2.30e-18","1.61e-16"
"P49137","MAPKAPK2","MAPKAPK2","Kinase","23","1.402","0.161","8.729","2.58e-18","1.61e-16"
"Q9Y572","RIPK3","RIPK3","Kinase","1","1.302","0.22","5.909","3.44e-9","1.71e-7"
"Q13535","ATR","ATR","Kinase","20","1.085","0.193","5.634","1.76e-8","7.24e-7"
"O14757","Chk1","CHEK1","Kinase","41","1.121","0.2","5.609","2.03e-8","7.24e-7"
"Q15118","PDHK1","PDK1","Kinase","3","1.246","0.232","5.361","8.29e-8","0.00000188"
"Q15119","PDHK2","PDK2","Kinase","3","1.246","0.232","5.361","8.29e-8","0.00000188"
"Q15120","PDHK3","PDK3","Kinase","3","1.246","0.232","5.361","8.29e-8","0.00000188"
"Q16654","PDHK4","PDK4","Kinase","3","1.246","0.232","5.361","8.29e-8","0.00000188"
"Q9UGJ0","AMPKG2","PRKAG2","Kinase","2","1.857","0.35","5.309","1.10e-7","0.00000229"
"Q9Y478","AMPKB1","PRKAB1","Kinase","1","2.434","0.486","5.009","5.47e-7","0.0000105"
"Q16644","MAPKAPK3","MAPKAPK3","Kinase","3","1.173","0.252","4.657","0.00000322","0.0000572"
"P07949","Ret","RET","Kinase","6","0.571","0.129","4.414","0.0000101","0.000163"
"P46734","MKK3","MAP2K3","Kinase","3","0.742","0.168","4.407","0.0000105","0.000163"
"Q05655","PKCD","PRKCD","Kinase","26","0.525","0.125","4.189","0.0000280","0.000411"
"P52564","MKK6","MAP2K6","Kinase","3","1.42","0.353","4.027","0.0000564","0.000780"
"Q13976","PKG1 iso2","PRKG1","Kinase","11","0.821","0.21","3.905","0.0000944","0.00124"
"P54646","AMPKA2","PRKAA2","Kinase","15","0.692","0.188","3.682","0.000231","0.00288"
"Q13043","MST1","STK4","Kinase","4","1.248","0.361","3.458","0.000544","0.00645"
"Q9UQM7","CAMK2A","CAMK2A","Kinase","14","0.692","0.202","3.422","0.000621","0.00703"
"O95382","MEKK6","MAP3K6","Kinase","4","0.617","0.181","3.41","0.000649","0.00703"
"Q99683","ASK1","MAP3K5","Kinase","5","0.518","0.157","3.292","0.000995","0.0103"
"Q14164","IKKE","IKBKE","Kinase","1","0.742","0.231","3.208","0.00134","0.0133"
"P27361","ERK1","MAPK3","Kinase","121","0.246","0.08","3.079","0.00207","0.0199"
"O96013","PAK4","PAK4","Kinase","3","0.854","0.286","2.983","0.00286","0.0263"
"Q13131","AMPKA1","PRKAA1","Kinase","40","0.401","0.148","2.714","0.00664","0.0590"
"P28482","ERK2","MAPK1","Kinase","150","0.212","0.079","2.67","0.00759","0.0652"
"Q13177","PAK2","PAK2","Kinase","13","-0.461","0.174","-2.658","0.00786","0.0653"
"P17252","PKCA","PRKCA","Kinase","51","0.319","0.121","2.626","0.00863","0.0693"
"Q14012","CAMK1A","CAMK1","Kinase","3","0.672","0.266","2.531","0.0114","0.0886"
"P23443","p70S6K","RPS6KB1","Kinase","19","0.344","0.142","2.425","0.0153","0.115"
"Q96QT4","ChaK1","TRPM7","Kinase","8","-0.981","0.406","-2.416","0.0157","0.115"
"Q13554","CAMK2B","CAMK2B","Kinase","7","0.535","0.223","2.393","0.0167","0.116"
"P45985","MKK4","MAP2K4","Kinase","6","0.48","0.201","2.391","0.0168","0.116"
"Q96RR4","CAMKK2","CAMKK2","Kinase","3","-0.955","0.403","-2.371","0.0178","0.120"
"P53355","DAPK1","DAPK1","Kinase","3","0.695","0.297","2.345","0.0190","0.125"
"O00418","EEF2K","EEF2K","Kinase","4","-0.906","0.415","-2.181","0.0292","0.186"
"Q9H4A3","WNK1","WNK1","Kinase","5","0.731","0.341","2.148","0.0317","0.198"
"P68400","CK2A1","CSNK2A1","Kinase","44","0.318","0.15","2.118","0.0342","0.202"
"Q8N5S9","CAMKK1","CAMKK1","Kinase","1","-2.027","0.96","-2.111","0.0348","0.202"
"O96017","Chk2","CHEK2","Kinase","6","0.548","0.261","2.098","0.0359","0.202"
"P36507","MEK2","MAP2K2","Kinase","4","0.32","0.153","2.097","0.0360","0.202"
