"UniprotID","Name","Gene","Type","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P49137","MAPKAPK2","MAPKAPK2","Kinase","24","1.814","0.15","12.087","1.23e-33","3.13e-31"
"Q13315","ATM","ATM","Kinase","29","1.488","0.135","10.984","4.54e-28","5.77e-26"
"P78527","DNAPK","PRKDC","Kinase","8","1.974","0.189","10.432","1.77e-25","1.50e-23"
"Q96GD4","AurB","AURKB","Kinase","49","1.201","0.126","9.513","1.86e-21","1.18e-19"
"Q13976","PKG1 iso2","PRKG1","Kinase","11","1.644","0.183","8.988","2.52e-19","1.28e-17"
"Q16644","MAPKAPK3","MAPKAPK3","Kinase","3","1.95","0.224","8.691","3.60e-18","1.52e-16"
"O14757","Chk1","CHEK1","Kinase","49","1.451","0.17","8.551","1.22e-17","4.41e-16"
"P17612","PKACA","PRKACA","Kinase","119","0.695","0.083","8.36","6.26e-17","1.99e-15"
"P28482","ERK2","MAPK1","Kinase","156","0.519","0.07","7.454","9.05e-14","2.51e-12"
"Q9Y572","RIPK3","RIPK3","Kinase","1","1.459","0.196","7.442","9.90e-14","2.51e-12"
"Q13535","ATR","ATR","Kinase","18","1.113","0.156","7.113","1.13e-12","2.62e-11"
"P27361","ERK1","MAPK3","Kinase","131","0.456","0.07","6.508","7.61e-11","1.61e-9"
"P10398","ARAF","ARAF","Kinase","2","0.515","0.087","5.909","3.43e-9","6.23e-8"
"P22694","PKACB","PRKACB","Kinase","2","0.515","0.087","5.909","3.43e-9","6.23e-8"
"Q13237","PKG2","PRKG2","Kinase","2","1.141","0.194","5.88","4.10e-9","6.94e-8"
"P17252","PKCA","PRKCA","Kinase","57","0.589","0.101","5.843","5.14e-9","8.16e-8"
"Q9UQM7","CAMK2A","CAMK2A","Kinase","12","1.014","0.182","5.584","2.35e-8","3.51e-7"
"O75582","MSK1","RPS6KA5","Kinase","11","0.867","0.156","5.562","2.67e-8","3.77e-7"
"O75676","MSK2","RPS6KA4","Kinase","2","1.173","0.217","5.411","6.26e-8","8.36e-7"
"Q9UK32","RSK4","RPS6KA6","Kinase","1","0.437","0.082","5.306","1.12e-7","0.00000136"
"Q9Y4K4","KHS1","MAP4K5","Kinase","1","0.437","0.082","5.306","1.12e-7","0.00000136"
"Q16539","P38A","MAPK14","Kinase","48","0.521","0.098","5.293","1.20e-7","0.00000139"
"P07949","Ret","RET","Kinase","8","0.596","0.114","5.241","1.60e-7","0.00000176"
"Q9H4B4","PLK3","PLK3","Kinase","3","0.568","0.109","5.208","1.91e-7","0.00000202"
"Q86V86","Pim3","PIM3","Kinase","6","0.475","0.093","5.128","2.93e-7","0.00000298"
"P31749","Akt1","AKT1","Kinase","95","0.398","0.079","5.027","4.98e-7","0.00000486"
"O14965","AurA","AURKA","Kinase","26","0.757","0.152","4.975","6.53e-7","0.00000608"
"Q13131","AMPKA1","PRKAA1","Kinase","37","0.643","0.129","4.97","6.70e-7","0.00000608"
"P23443","p70S6K","RPS6KB1","Kinase","23","0.554","0.113","4.909","9.14e-7","0.00000801"
"Q99683","ASK1","MAP3K5","Kinase","4","0.665","0.141","4.709","0.00000249","0.0000211"
"P46734","MKK3","MAP2K3","Kinase","3","0.682","0.15","4.547","0.00000545","0.0000447"
"Q9UBE8","NLK","NLK","Kinase","3","0.604","0.135","4.49","0.00000711","0.0000564"
"O95382","MEKK6","MAP3K6","Kinase","3","0.723","0.167","4.329","0.0000150","0.000115"
"Q9P1W9","Pim2","PIM2","Kinase","4","0.411","0.095","4.322","0.0000154","0.000115"
"P45984","JNK2 iso2","MAPK9","Kinase","13","0.437","0.104","4.216","0.0000249","0.000181"
"P45983","JNK1 iso2","MAPK8","Kinase","30","0.474","0.114","4.171","0.0000303","0.000212"
"P68400","CK2A1","CSNK2A1","Kinase","44","0.579","0.139","4.167","0.0000309","0.000212"
"Q05655","PKCD","PRKCD","Kinase","31","0.456","0.11","4.158","0.0000321","0.000214"
"P51617","IRAK1","IRAK1","Kinase","1","0.417","0.101","4.119","0.0000380","0.000241"
"Q13233","MEKK1","MAP3K1","Kinase","1","0.417","0.101","4.119","0.0000380","0.000241"
"P36507","MEK2","MAP2K2","Kinase","4","0.548","0.135","4.049","0.0000514","0.000319"
"P54646","AMPKA2","PRKAA2","Kinase","14","0.697","0.174","4.004","0.0000623","0.000377"
"P52564","MKK6","MAP2K6","Kinase","3","1.25","0.314","3.977","0.0000698","0.000412"
"Q13554","CAMK2B","CAMK2B","Kinase","6","0.79","0.201","3.925","0.0000869","0.000502"
"Q02750","MEK1","MAP2K1","Kinase","5","0.509","0.131","3.881","0.000104","0.000586"
"Q8TD08","ERK7","MAPK15","Kinase","1","0.584","0.153","3.815","0.000136","0.000737"
"Q99986","VRK1","VRK1","Kinase","1","0.584","0.153","3.815","0.000136","0.000737"
"P53355","DAPK1","DAPK1","Kinase","3","1.001","0.264","3.794","0.000148","0.000783"
"Q13153","PAK1","PAK1","Kinase","25","0.376","0.103","3.663","0.000250","0.00129"
"P51812","RSK2","RPS6KA3","Kinase","18","0.473","0.13","3.651","0.000261","0.00132"
"O60674","JAK2","JAK2","Kinase","2","0.555","0.153","3.621","0.000293","0.00146"
"O15264","P38D","MAPK13","Kinase","14","0.437","0.124","3.534","0.000409","0.00200"
"P45985","MKK4","MAP2K4","Kinase","5","0.641","0.182","3.527","0.000420","0.00201"
"Q9UGJ0","AMPKG2","PRKAG2","Kinase","2","1.094","0.312","3.509","0.000450","0.00212"
"O43318","TAK1","MAP3K7","Kinase","7","0.825","0.237","3.475","0.000511","0.00236"
"P05771","PKCB iso2","PRKCB","Kinase","10","0.403","0.117","3.462","0.000535","0.00243"
"P06493","CDK1","CDK1","Kinase","266","0.222","0.066","3.381","0.000723","0.00322"
"P53779","JNK3","MAPK10","Kinase","7","0.458","0.136","3.357","0.000789","0.00345"
"P04049","RAF1","RAF1","Kinase","7","0.401","0.121","3.329","0.000872","0.00376"
"P53350","PLK1","PLK1","Kinase","33","0.464","0.141","3.293","0.000991","0.00415"
"P31751","Akt2","AKT2","Kinase","30","0.395","0.12","3.291","0.000998","0.00415"
"Q00534","CDK6","CDK6","Kinase","24","0.354","0.109","3.233","0.00123","0.00502"
"P00558","PGK1","PGK1","Kinase","3","0.544","0.176","3.088","0.00201","0.00812"
"P15056","BRAF","BRAF","Kinase","6","0.546","0.178","3.065","0.00218","0.00865"
"Q9Y243","Akt3","AKT3","Kinase","10","0.382","0.126","3.035","0.00240","0.00939"
"Q05513","PKCZ","PRKCZ","Kinase","20","0.364","0.12","3.023","0.00250","0.00962"
"O75385","ULK1","ULK1","Kinase","9","0.643","0.214","3.007","0.00264","0.0100"
"Q15759","P38B","MAPK11","Kinase","10","0.444","0.148","2.993","0.00276","0.0103"
"P41279","Cot","MAP3K8","Kinase","7","0.413","0.14","2.948","0.00320","0.0118"
"Q15418","p90RSK","RPS6KA1","Kinase","34","0.293","0.101","2.89","0.00385","0.0140"
"O00444","PLK4","PLK4","Kinase","2","1.431","0.501","2.857","0.00428","0.0153"
"Q14004","CDK13","CDK13","Kinase","6","0.536","0.196","2.737","0.00620","0.0219"
"P00533","EGFR","EGFR","Kinase","6","0.511","0.19","2.686","0.00723","0.0251"
"Q13043","MST1","STK4","Kinase","4","0.855","0.321","2.664","0.00773","0.0265"
"O94921","CDK14","CDK14","Kinase","3","0.937","0.358","2.618","0.00884","0.0299"
"Q8N752","CK1A2","CSNK1A1L","Kinase","1","0.432","0.167","2.59","0.00959","0.0321"
"O94806","PRKD3","PRKD3","Kinase","4","0.471","0.186","2.536","0.0112","0.0370"
"O15111","IKKA","CHUK","Kinase","5","0.592","0.235","2.52","0.0117","0.0379"
"P24941","CDK2","CDK2","Kinase","200","0.184","0.073","2.519","0.0118","0.0379"
"Q9UHD2","TBK1","TBK1","Kinase","5","0.602","0.241","2.499","0.0125","0.0382"
"Q15119","PDHK2","PDK2","Kinase","3","0.517","0.207","2.497","0.0125","0.0382"
"Q15120","PDHK3","PDK3","Kinase","3","0.517","0.207","2.497","0.0125","0.0382"
"Q16654","PDHK4","PDK4","Kinase","3","0.517","0.207","2.497","0.0125","0.0382"
"O14733","MKK7","MAP2K7","Kinase","2","0.664","0.266","2.494","0.0126","0.0382"
